,district
TXN,6
LAW,5
CAC,5
FLS,5
AZ,4
TXE,4
NYE,4
TXW,3
WAW,3
LAE,3
FLM,3
NM,2
NJ,2
FLN,2
ALS,2
ALM,2
MN,2
TNM,2
INS,2
NYS,2
TXS,2
DE,2
ILN,2
NV,1
MD,1
IAN,1
OKE,1
NYW,1
PR,1
CAS,1
NCE,1
GAN,1
ND,1
SC,1
MIW,1
CO,1
UT,1
