district,days_pending
ALM,1685
CAC,1072
FLM,1035
FLN,92
FLS,1052
GAN,864
IAN,242
ID,517
INS,885
KS,954
MD,576
MN,368
NCE,3988
NE,607
NJ,1906
NYE,703
NYW,634
SC,1901
TNM,487
TXE,1527
TXN,2464
TXS,2936
TXW,735
