district,days_pending
ALM,2415
ALS,810
AZ,970
CAC,2655
CO,598
FLM,1859
FLN,701
FLS,2361
GAN,1229
IAN,61
ID,729
INS,1250
KS,1044
LAE,1351
MD,669
MN,395
NCE,4353
ND,64
NJ,2026
NV,669
NYE,1677
NYS,853
NYW,999
OKE,122
SC,2601
TNM,595
TXE,2622
TXN,3924
TXS,3666
TXW,1465
UT,1187
WAW,1338
