,district
FLS,5
TXN,4
CAC,3
FLM,3
TXE,3
SC,2
WAW,2
TXW,2
NJ,2
ALS,2
ALM,2
NYE,2
MN,2
TXS,2
TNM,2
AZ,2
LAE,2
NYS,1
OKE,1
UT,1
FLN,1
NYW,1
IAN,1
MD,1
CO,1
ID,1
ND,1
NV,1
NCE,1
GAN,1
INS,1
KS,1
