district,days_pending
ALM,2901
ALS,1296
AZ,1910
CAC,5182
CAS,792
CO,963
DE,1001
FLM,2863
FLN,1820
FLS,4186
GAN,1260
IAN,335
ILN,1411
INS,1585
LAE,2165
LAW,2303
MD,1034
MIW,669
MN,1462
NCE,4718
ND,429
NJ,2756
NM,426
NV,1034
NYE,3779
NYS,1858
NYW,1364
OKE,487
PR,913
SC,1610
TNM,930
TXE,3932
TXN,5232
TXS,4213
TXW,2105
UT,1552
WAW,2954
