,district
CAC,10
NJ,6
CAS,5
WAW,5
NYS,4
FLM,2
NYE,2
AZ,2
FLS,2
ILS,2
TNE,2
CAE,2
NV,2
NM,2
OKE,1
TXS,1
MIW,1
OHS,1
MSS,1
ILN,1
CO,1
