district,days_pending
AZ,1303
CAC,11962
CAE,653
CAS,4967
CO,639
FLM,647
FLS,1325
ILN,714
ILS,697
MIW,1096
MSS,984
NJ,7724
NM,1379
NV,2651
NYE,2210
NYS,3388
OHS,594
OKE,1004
TNE,348
TXS,332
WAW,6124
