district,days_pending
ALM,1459
ARE,580
AZ,1211
CAC,8668
CAS,3228
CO,1143
FLM,2482
FLN,2214
FLS,5370
GAN,609
ILN,2580
ILS,573
INN,1267
LAE,1369
MD,1308
MIW,1034
MOE,608
NCE,5083
ND,662
NJ,5528
NM,1309
NV,1399
NYE,5355
NYS,4076
NYW,1729
OHS,2481
OKE,852
OR,735
PR,975
TXE,3448
TXN,5717
TXS,3794
TXW,578
UT,1824
WAW,4325
WVS,92
